sample_id,yield,split,base_temp,base_pressure
WF_00000,75.91667055236186,test,-1.0323970195548475,-1.4682637598688473
WF_00001,95.82020642582604,train,2.309844422090078,-0.23236723937677117
WF_00002,68.43985242733653,valid,0.3268434703880229,0.2566343810815294
WF_00003,85.71357245039323,train,-0.7322853814020757,0.1775911169235922
WF_00004,84.50103040821091,train,0.9159303022795986,0.539304552942874
WF_00005,79.96601309862454,train,-0.1091451515613345,-0.9170489464607607
WF_00006,69.63224391046633,train,-0.25288144631783127,0.06494308755074261
WF_00007,84.02777840443794,train,0.5622728719144933,0.420322829776129
WF_00008,85.40014851194456,test,-1.29188226823169,0.8256709533036595
WF_00009,79.09362068229525,train,0.3526272039171724,-0.805718166612792
WF_00010,89.34386937828812,train,1.9129548077317522,-0.345156867242898
WF_00011,99.51747219684103,valid,0.46617766219731077,-2.7038176800733402
WF_00012,67.48170901885382,test,-0.3762121037834645,-0.6214619675777742
WF_00013,80.12864501386433,test,-0.507105280428242,-0.524414892971043
WF_00014,84.38925403652974,train,-0.41033997334510935,-1.019584508167443
WF_00015,74.84258622992216,train,-0.25396267804778105,0.1656121502326517
WF_00016,77.05156147528746,valid,-0.377806532758272,-0.05594543204526823
WF_00017,93.82664596558497,train,0.9163114410745667,-2.2592138775776114
WF_00018,84.28892056582008,train,-1.7332091032089831,0.21550796930175647
WF_00019,79.91199434365663,train,0.862000050412134,-0.9283241307890274
WF_00020,78.47441454023877,test,-0.3796865251425611,0.48568895919051513
WF_00021,97.49645585159773,train,0.37694778569537224,-1.2818512477286654
WF_00022,73.37398899584996,test,-1.1269879102008638,0.03000653853094012
WF_00023,96.63536674750566,train,1.328631066849436,-0.2831633288865059
WF_00024,79.84773941332216,train,1.245634960171873,0.30310188495033036
WF_00025,92.64585735140714,valid,0.9595905257500736,0.12469727765134685
WF_00026,75.4793860863734,valid,-1.5147547757935393,-0.25516417502145444
WF_00027,88.29551586619802,test,0.8291210710660528,-1.5362723140442447
WF_00028,91.65690226611312,train,0.4048550876357089,-1.4772079634610316
WF_00029,73.39547625965862,train,-1.6052712471325676,-0.583886939092219
WF_00030,81.31014440196249,train,-0.02429738377081549,-0.00827988392958697
WF_00031,91.47788937270137,test,0.3645344890332625,-0.608247947199117
WF_00032,85.17637000301278,train,0.5560752738231508,0.6252119305794656
WF_00033,86.5103828567103,train,0.17726136694885572,-0.2792209192116837
WF_00034,88.59645892577888,valid,0.2912314168473797,-0.9650127247795103
WF_00035,95.34910168768023,train,1.4736113922530956,-0.27809629298790933
WF_00036,93.27428470645384,train,1.2260339099106798,0.22585983631655238
WF_00037,64.64636620329546,train,-2.8670549537827434,0.3248847188245844
WF_00038,68.3938251277348,train,-0.317438554837682,1.8783791319931293
WF_00039,85.47389986334254,train,-0.16465102754395128,-0.6689093400034194
WF_00040,76.46259027775986,train,-1.7520985727269711,-0.07347866159040038
WF_00041,86.49632882886345,valid,0.09418305823231217,0.4261239468194264
WF_00042,75.76224402573526,valid,1.2487577724105066,-0.023422959200815323
WF_00043,73.87219371419428,train,-1.0865678595905903,-0.5006181459886532
WF_00044,86.66571378544224,train,0.3364009386898723,-1.5492571763442435
WF_00045,75.57008677410472,train,-0.9158234772964378,-0.5108345590530156
WF_00046,94.40848405810914,train,-0.6719120236796768,-1.073702412717801
WF_00047,84.46278261385028,train,1.477393634170035,-1.7266066811237784
WF_00048,73.511804373355,train,-0.542557820111825,-0.7956788416705864
WF_00049,79.05188898264886,valid,0.46221248901062467,-1.0470917207664545
WF_00050,75.78284276482815,valid,-1.871218116060987,0.5837865452929482
WF_00051,91.21881926566547,train,1.8623175613948801,0.6010918374142937
WF_00052,85.88889165328926,train,0.602652446306499,-0.9038792895808748
WF_00053,83.33118653184641,valid,-0.18249984265026167,-0.2602286305631211
WF_00054,80.75926834432283,train,0.5755465099998948,-1.8582426621125354
WF_00055,80.90413112091032,train,-1.4098194289478103,-0.4943399501826941
WF_00056,82.32713605761383,valid,1.1825307417526572,0.3989819007023456
WF_00057,74.19176588938075,train,-0.3239847754964302,0.8249378896141027
WF_00058,78.26999266003743,valid,-0.2040695150484347,-0.7130470816913138
WF_00059,78.33607263240191,train,-0.49165561496548443,1.0518548605275198
WF_00060,71.76643233359901,valid,-0.5806514027455847,-1.5156919215134717
WF_00061,95.29582262732606,test,0.6946706116284086,-1.2476277991437925
WF_00062,77.6515151565594,train,0.25590685010422287,0.7096618656378763
WF_00063,80.74142109522788,train,0.6517481414030399,1.6711212285632473
WF_00064,83.14800637836146,train,-0.008794689485571452,0.4934319881836954
WF_00065,84.8597699746287,train,0.513199811077181,-0.040342386534012425
WF_00066,86.02568241139963,train,-0.41884874392503835,-2.1951837465222086
WF_00067,108.63708024029047,valid,2.2297318414095484,-2.0224470560434793
WF_00068,70.35185206593106,valid,-1.5679304164304986,0.12940953689586895
WF_00069,88.9497621943543,train,1.2609373235629844,-0.35806266957117455
