sample_id,order_id,lot_id,wafer_id,product_id,route_id,process_step,equipment_name,chamber_id,process_time_sec,target_bad_a,eds_bin_no_wf_mean,eds_bin_a_wf_mean,eds_bin_b_wf_mean,eds_bin_c_wf_mean,eds_yield_wf_mean,sensor_temp_zone1_mean,sensor_temp_zone2_mean,sensor_pressure_chamber_mean,sensor_rf_power_mean,sensor_gas_flow_o2_mean,sensor_gas_flow_ar_mean,sensor_vacuum_leak_rate,sensor_plasma_impedance_std,sensor_endpoint_time_sec,sensor_plasma_instability_score,measure_cd_post_etch_mean_nm,measure_cd_post_etch_std_nm,measure_overlay_x_nm,measure_overlay_y_nm,measure_thickness_post_cvd_nm,measure_film_resistance_ohm,measure_inline_particle_density,midproc_defect_particle_count,midproc_defect_scratch_count,midproc_defect_bridge_count,midproc_defect_residue_count,midproc_defect_void_count,midproc_defect_pattern_collapse_count,midproc_defect_microbridge_count,bad_only_residue_signature,good_only_stable_signature,sim_true_defect_a_flag,sim_true_defect_b_flag,sim_true_defect_c_flag,sim_true_defect_d_flag,sim_dominant_defect
O005_W0000,5,LOT_05_05,23,P_A,R_FAST,PHOTO,PHOTO_01,CH_D,1787.2,0,1.2822,0.0342,0.0349,0.1141,0.921,312.003,318.095,3.2749,784.037,124.755,215.883,0.1183,0.5037,64.914,1.8578,41.0512,0.9051,-10.7069,6.1629,772.1508,38.8577,0.31154,11,4,2,5,0,0,1,,0.9629125542838392,0,0,1,0,C
O005_W0001,5,LOT_05_04,12,P_A,R_BASE,PHOTO,PHOTO_01,CH_B,1771.5,0,1.4561,0.0312,0.1332,0.03,0.9252,324.835,313.069,3.0662,819.649,118.487,216.519,0.04612,0.4942,58.671,0.4249,40.1223,1.1937,-0.9612,-13.0039,791.1972,35.075,0.09555,3,0,4,2,2,0,0,,1.039453662841213,0,1,0,0,B
O005_W0002,5,LOT_05_05,22,P_C,R_BASE,ETCH,ETCH_02,CH_D,1881.9,0,1.1418,0.0168,0.023,0.0259,0.9499,326.327,320.018,3.1459,842.891,119.387,210.638,0.10248,0.3099,58.522,1.6241,42.244,0.9506,4.1729,10.2416,766.6429,38.4,0.18714,6,0,0,2,1,0,0,,1.044869997408313,0,0,0,0,GOOD
O005_W0003,5,LOT_05_06,21,P_C,R_REWORK,ETCH,CMP_01,CH_D,2039.5,1,1.6382,0.0577,0.0246,0.0344,0.8786,328.706,319.3,3.0566,841.792,124.043,189.881,0.06803,0.3159,65.34,1.7382,41.7506,1.1536,8.0912,4.38,803.2921,45.792,0.17395,1,0,2,2,8,1,0,5.087081167088275,,0,0,0,1,D
O005_W0004,5,LOT_05_02,20,P_B,R_BASE,CVD,ETCH_03,CH_A,1794.0,0,1.3668,0.0362,0.1355,0.0302,0.923,316.012,317.132,2.7039,875.259,110.959,206.004,0.0346,0.4337,68.376,-0.9197,44.2012,1.1638,4.7505,-5.1067,775.4527,37.7012,0.15015,6,2,7,0,2,3,1,,0.9997302640558109,0,1,0,0,B
O005_W0005,5,LOT_05_01,1,P_C,R_BASE,ETCH,CVD_01,CH_A,1892.8,1,1.6,0.1715,0.0153,0.0,0.9213,319.918,320.162,3.4085,896.835,142.753,205.374,0.07563,0.7326,65.819,2.1756,46.8599,1.6005,-11.347,6.4366,789.4,36.055,0.142,1,1,3,4,0,0,4,5.938470269536053,,1,0,0,0,A
O005_W0006,5,LOT_05_07,13,P_A,R_BASE,CVD,ETCH_01,CH_A,1769.9,0,1.5871,0.0414,0.0174,0.0115,0.8924,334.104,316.31,3.2924,816.815,129.345,223.625,0.06112,0.4877,57.082,-0.2392,43.3297,1.3299,-10.0051,-9.1518,820.7263,43.1743,0.20008,3,1,1,2,2,2,0,,0.8157903594832521,0,0,0,1,D
O005_W0007,5,LOT_05_04,7,P_B,R_FAST,ETCH,ETCH_01,CH_C,2079.0,0,1.1966,0.0285,0.0346,0.0214,0.9631,319.082,315.185,2.6199,840.454,126.977,201.053,0.10282,0.3874,64.995,-0.1778,44.5316,1.1119,-6.3451,4.3244,817.6698,36.2289,0.14156,8,2,1,0,0,0,0,,0.927782640528692,0,0,0,0,GOOD
O005_W0008,5,LOT_05_05,20,P_B,R_FAST,ETCH,ETCH_02,CH_C,1967.5,0,1.3698,0.0191,0.0269,0.0492,0.9437,325.257,310.225,2.8592,853.231,130.606,200.146,0.07607,0.3053,63.851,-0.3453,42.3247,1.1626,1.7918,-5.7273,761.2915,38.2651,0.27909,5,1,3,1,1,0,0,,0.9725498679348228,0,0,0,0,GOOD
O005_W0009,5,LOT_05_05,20,P_A,R_BASE,ETCH,CMP_01,CH_D,2137.6,0,1.1599,0.0425,0.0146,0.0306,0.9635,319.301,316.093,2.6116,835.793,131.769,206.076,0.0704,0.2363,65.942,0.3911,44.0169,1.2389,-3.9088,0.3186,789.268,33.4471,0.18878,5,2,0,7,1,0,2,,0.7820214237295985,0,0,0,0,GOOD
