sample_id,order_id,lot_id,wafer_id,product_id,route_id,process_step,equipment_name,chamber_id,process_time_sec,target_bad_a,eds_bin_no_wf_mean,eds_bin_a_wf_mean,eds_bin_b_wf_mean,eds_bin_c_wf_mean,eds_yield_wf_mean,sensor_temp_zone1_mean,sensor_temp_zone2_mean,sensor_pressure_chamber_mean,sensor_rf_power_mean,sensor_gas_flow_o2_mean,sensor_gas_flow_ar_mean,sensor_vacuum_leak_rate,sensor_plasma_impedance_std,sensor_endpoint_time_sec,sensor_plasma_instability_score,measure_cd_post_etch_mean_nm,measure_cd_post_etch_std_nm,measure_overlay_x_nm,measure_overlay_y_nm,measure_thickness_post_cvd_nm,measure_film_resistance_ohm,measure_inline_particle_density,midproc_defect_particle_count,midproc_defect_scratch_count,midproc_defect_bridge_count,midproc_defect_residue_count,midproc_defect_void_count,midproc_defect_pattern_collapse_count,midproc_defect_microbridge_count,bad_only_residue_signature,good_only_stable_signature,sim_true_defect_a_flag,sim_true_defect_b_flag,sim_true_defect_c_flag,sim_true_defect_d_flag,sim_dominant_defect
O004_W0000,4,LOT_04_01,1,P_B,R_REWORK,ETCH,ETCH_02,CH_C,2133.8,0,1.5205,0.007,0.0426,0.0379,0.8826,319.459,316.023,3.0629,819.401,132.392,203.733,0.03973,0.5215,67.005,1.0763,42.2436,0.9412,-13.944,-7.4105,779.7137,40.195,0.11905,7,1,2,4,7,0,0,,1.0805311239693325,0,0,0,1,D
O004_W0001,4,LOT_04_04,24,P_A,R_BASE,PHOTO,ETCH_01,CH_D,1812.1,0,1.5773,0.0511,0.1399,0.0156,0.9427,316.95,320.986,2.9019,849.839,122.297,213.018,0.1149,0.3164,59.027,0.2963,42.5427,1.5564,2.758,4.227,784.6421,35.6209,0.14703,4,1,3,1,0,2,0,,0.8929750015180412,0,1,0,0,B
O004_W0002,4,LOT_04_06,14,P_A,R_BASE,CMP,CMP_01,CH_B,1748.0,0,1.4326,0.0,0.016,0.1161,0.934,326.132,317.874,2.9744,828.5,140.385,200.217,0.09023,0.4887,62.59,0.1518,40.6542,1.2025,6.0904,-8.2021,823.4515,42.5324,0.19648,6,3,2,2,1,0,0,,1.327371796017606,0,0,1,0,C
O004_W0003,4,LOT_04_03,23,P_B,R_REWORK,CMP,PHOTO_01,CH_D,1944.6,0,1.4984,0.0095,0.1323,0.1146,0.903,318.696,322.771,2.8905,895.125,118.618,212.434,0.07689,0.328,75.716,0.4387,41.0624,1.2707,6.0194,1.7936,765.1725,36.0092,0.16634,3,4,7,3,1,0,1,,0.9496151465272085,0,1,1,0,B
O004_W0004,4,LOT_04_05,20,P_B,R_BASE,ETCH,ETCH_01,CH_D,2077.4,0,1.5067,0.0349,0.0265,0.1209,0.9217,320.735,323.832,3.068,862.186,129.744,200.575,0.04896,0.4633,59.851,-0.4074,39.3636,1.4258,-1.3746,1.2357,798.2602,41.5535,0.15558,1,4,1,1,3,0,2,,1.083496079558185,0,0,1,0,C
O004_W0005,4,LOT_04_05,11,P_B,R_FAST,PHOTO,ETCH_03,CH_A,1992.7,0,1.3793,0.0316,0.1479,0.0235,0.8911,314.793,320.107,3.075,881.758,133.111,236.018,0.0654,0.3434,65.847,-0.0077,41.8334,1.3232,12.1157,-6.2757,752.9013,38.3599,0.24789,4,1,5,1,1,2,0,,1.1041796419088206,0,1,0,0,B
O004_W0006,4,LOT_04_02,23,P_A,R_BASE,CVD,CVD_01,CH_C,1762.4,0,1.1416,0.0358,0.0442,0.0,0.9508,322.942,313.588,2.7678,838.66,120.059,206.982,0.129,0.3951,61.366,1.5728,40.5221,1.641,1.5491,5.268,779.8914,39.5621,0.20245,4,1,0,1,0,0,0,,0.9227935646001405,0,0,0,0,GOOD
O004_W0007,4,LOT_04_05,6,P_B,R_BASE,CVD,CMP_01,CH_B,1777.7,0,1.314,0.0057,0.1384,0.0155,0.9265,327.177,312.349,3.087,865.285,113.519,210.563,0.07911,0.3754,62.82,0.3652,42.5282,0.977,4.361,-4.8357,755.3826,36.6431,0.1801,1,0,4,4,1,1,1,,1.023679731537797,0,1,0,0,B
O004_W0008,4,LOT_04_06,19,P_B,R_FAST,PHOTO,CMP_01,CH_C,1879.3,0,1.357,0.0772,0.0235,0.0216,0.9516,316.313,324.15,2.8323,871.601,130.352,213.592,0.07428,0.4978,59.063,-0.9484,45.2727,1.3977,8.0582,2.6776,789.3461,38.7582,0.1347,3,0,0,2,0,0,1,,0.7538790933754309,0,0,0,0,GOOD
O004_W0009,4,LOT_04_07,25,P_A,R_BASE,CVD,ETCH_02,CH_A,1692.2,0,1.402,0.0329,0.0305,0.0289,0.9435,317.894,308.297,2.6476,852.106,132.739,202.913,0.05427,0.4656,61.425,-0.332,42.5851,1.0666,-2.7824,-1.5519,791.4165,42.2358,0.12817,5,0,0,3,0,2,0,,1.1397031374293443,0,0,0,0,GOOD
O004_W0010,4,LOT_04_01,13,P_B,R_BASE,ETCH,CMP_01,CH_A,1940.3,1,1.8453,0.1793,0.014,0.0364,0.8633,324.079,314.032,3.5254,937.868,121.876,193.429,0.14296,0.4819,64.731,1.1126,44.7069,1.6538,2.5473,10.8521,772.4327,41.9265,0.16334,6,0,1,4,3,1,6,9.355638000264921,,1,0,0,1,A
O004_W0011,4,LOT_04_03,1,P_A,R_BASE,CMP,CVD_01,CH_D,1722.1,0,1.2618,0.0086,0.0243,0.101,0.9303,318.156,317.802,2.9205,869.294,136.163,200.43,0.08112,0.6867,64.328,-2.385,41.8094,1.4678,-4.747,8.2973,784.378,40.9766,0.28454,2,5,2,2,3,0,1,,0.8471264923642068,0,0,1,0,C
O004_W0012,4,LOT_04_04,15,P_B,R_BASE,ETCH,PHOTO_01,CH_A,2043.7,0,1.3019,0.0597,0.0425,0.0021,0.9088,318.411,314.22,3.1574,868.64,116.875,217.2,0.07651,0.4196,56.751,1.5808,42.4458,0.8092,1.5131,5.915,824.2462,38.2028,0.2188,3,0,0,3,1,0,0,,1.0859477536447297,0,0,0,0,GOOD
O004_W0013,4,LOT_04_05,18,P_B,R_BASE,CVD,ETCH_01,CH_C,1830.6,0,1.5444,0.0431,0.0132,0.0268,0.8979,317.544,313.772,3.2137,812.496,125.777,200.046,0.05525,0.3407,68.094,0.1967,42.932,0.6008,1.1112,-1.6485,780.7405,39.7299,0.13211,6,1,2,1,4,0,0,,1.1201338295863768,0,0,0,1,D
O004_W0014,4,LOT_04_05,21,P_B,R_FAST,CVD,ETCH_01,CH_C,1852.2,0,1.7689,0.0538,0.1416,0.0182,0.8755,319.215,313.461,2.9243,867.383,121.366,203.185,0.09697,0.5428,61.844,-0.8043,43.7347,0.8079,2.5477,-4.9485,798.5833,43.6027,0.19159,4,0,4,2,3,1,0,,1.0558450830860178,0,1,0,1,B
O004_W0015,4,LOT_04_06,5,P_A,R_BASE,CVD,ETCH_03,CH_A,1765.8,0,1.6249,0.0752,0.0497,0.0212,0.8724,320.99,304.886,3.189,843.417,138.907,214.384,0.1149,0.5265,70.579,1.8147,38.9697,1.476,-4.4833,0.2136,806.7052,39.2761,0.24512,5,2,1,3,5,0,0,,0.8524431861982867,0,0,0,1,D
O004_W0016,4,LOT_04_07,1,P_A,R_FAST,ETCH,CVD_01,CH_C,1970.1,0,1.4803,0.0577,0.1558,0.0021,0.8849,324.843,323.077,2.8039,881.891,122.9,207.474,0.05129,0.4361,62.987,0.8091,43.3114,1.0103,9.358,-0.3184,791.4563,33.052,0.20038,6,0,6,2,3,0,1,,0.7268213282319085,0,1,0,0,B
O004_W0017,4,LOT_04_08,5,P_C,R_BASE,CMP,PHOTO_01,CH_A,1767.4,0,1.5798,0.0531,0.0269,0.026,0.8652,317.344,323.679,3.2124,875.088,129.633,203.953,0.09399,0.3628,60.321,1.9016,42.6774,1.0306,8.6254,3.5702,800.9166,40.7835,0.21754,5,1,0,0,6,0,4,,1.2720231566696913,0,0,0,1,D
O004_W0018,4,LOT_04_05,13,P_A,R_REWORK,ETCH,PHOTO_01,CH_D,2261.9,0,1.2542,0.0536,0.0398,0.0272,0.9261,316.427,307.755,2.9564,852.309,114.946,190.33,0.07904,0.5621,54.763,-2.6007,40.1993,1.2657,-3.4408,5.0885,783.0281,36.0716,0.27999,10,1,2,3,0,0,0,,1.1219963582131878,0,0,0,0,GOOD
O004_W0019,4,LOT_04_02,3,P_A,R_BASE,CVD,ETCH_01,CH_B,1750.9,0,1.2838,0.0548,0.0087,0.0167,0.9493,316.119,319.11,2.7876,866.784,126.08,199.296,0.12993,0.4317,60.111,0.7005,41.9917,1.4049,2.8563,0.459,777.4949,37.719,0.1999,6,0,1,2,1,0,0,,1.0443763829259733,0,0,0,0,GOOD
O004_W0020,4,LOT_04_04,24,P_A,R_BASE,CVD,ETCH_01,CH_B,1793.9,0,1.1452,0.0269,0.0231,0.0185,0.9358,325.115,315.577,3.0436,880.958,141.56,212.022,0.1212,0.3307,53.24,-0.7291,45.2725,1.203,-4.2543,10.9713,792.7997,36.8805,0.1719,3,0,0,1,0,1,1,,0.8719244088958996,0,0,0,0,GOOD
O004_W0021,4,LOT_04_03,13,P_A,R_BASE,CMP,PHOTO_01,CH_A,1918.4,0,1.9265,0.0336,0.135,0.0388,0.8562,333.149,328.354,2.8451,851.201,117.683,202.938,0.08645,0.4967,62.503,-1.0069,41.8721,0.944,9.3764,-2.9992,820.4772,41.8098,0.11928,3,0,7,1,3,2,1,,0.9416231751420303,0,1,0,1,B
O004_W0022,4,LOT_04_06,14,P_A,R_FAST,ETCH,PHOTO_01,CH_D,2112.5,0,1.587,0.0219,0.0285,0.0334,0.8904,321.318,315.596,3.182,879.173,120.578,212.845,0.09679,0.4528,63.683,-1.0841,42.8936,1.0441,-1.338,6.1027,756.5589,39.263,0.18198,5,0,3,0,5,0,1,,1.095703182283997,0,0,0,1,D
O004_W0023,4,LOT_04_04,5,P_C,R_BASE,CVD,PHOTO_01,CH_A,1943.8,0,1.1962,0.0529,0.0362,0.0159,0.9154,319.938,313.873,2.8183,838.814,145.852,188.1,0.07201,0.4615,61.235,-0.0346,42.0391,0.8852,-9.0103,-0.4062,772.8838,38.2022,0.15199,4,1,2,4,2,0,0,,0.9315111434013641,0,0,0,0,GOOD
O004_W0024,4,LOT_04_08,6,P_A,R_BASE,PHOTO,ETCH_03,CH_D,1848.3,0,1.203,0.0584,0.0248,0.0166,0.9443,319.39,322.412,3.1972,877.332,129.64,201.8,0.11808,0.3751,58.085,-0.2655,45.272,1.2493,-9.071,-7.631,795.4988,37.4929,0.13268,3,1,0,4,2,1,1,,0.8970664350560682,0,0,0,0,GOOD
O004_W0025,4,LOT_04_06,22,P_A,R_REWORK,ETCH,ETCH_02,CH_C,2094.9,0,1.3094,0.0572,0.0076,0.0149,0.9409,321.359,318.624,3.3402,867.076,123.075,198.186,0.08353,0.2541,67.871,0.756,40.7855,0.9221,-6.9292,4.0966,786.2231,38.0314,0.17672,4,1,0,0,4,1,0,,1.0031911583364248,0,0,0,0,GOOD
O004_W0026,4,LOT_04_06,19,P_B,R_BASE,ETCH,ETCH_02,CH_A,1987.8,1,1.5902,0.1773,0.0164,0.0101,0.9116,320.974,320.008,3.7775,968.665,113.309,201.122,0.12479,0.6647,65.858,2.7151,44.7581,1.8653,-0.5279,-2.1257,793.8489,36.0725,0.16815,8,0,1,6,0,1,6,10.506048358116068,,1,0,0,0,A
O004_W0027,4,LOT_04_06,17,P_B,R_BASE,CMP,ETCH_02,CH_A,1617.0,0,0.967,0.0106,0.0269,0.0369,0.9353,315.286,311.67,2.8741,857.421,123.472,210.164,0.1284,0.3903,61.981,-2.585,41.7108,1.4859,9.4073,8.8268,800.9158,38.9679,0.18392,2,0,0,4,0,0,1,,1.072137936283004,0,0,0,0,GOOD
O004_W0028,4,LOT_04_04,24,P_B,R_REWORK,ETCH,ETCH_01,CH_C,2143.1,0,1.4216,0.0457,0.1372,0.0175,0.9027,324.518,310.786,2.56,878.045,127.406,193.931,0.05603,0.3677,55.005,2.1329,44.8369,1.1698,4.4822,0.9412,761.1703,39.7954,0.21826,5,0,3,3,1,7,2,,0.8927812592634221,0,1,0,0,B
