sample_id,order_id,lot_id,wafer_id,product_id,route_id,process_step,equipment_name,chamber_id,process_time_sec,target_bad_a,eds_bin_no_wf_mean,eds_bin_a_wf_mean,eds_bin_b_wf_mean,eds_bin_c_wf_mean,eds_yield_wf_mean,sensor_temp_zone1_mean,sensor_temp_zone2_mean,sensor_pressure_chamber_mean,sensor_rf_power_mean,sensor_gas_flow_o2_mean,sensor_gas_flow_ar_mean,sensor_vacuum_leak_rate,sensor_plasma_impedance_std,sensor_endpoint_time_sec,sensor_plasma_instability_score,measure_cd_post_etch_mean_nm,measure_cd_post_etch_std_nm,measure_overlay_x_nm,measure_overlay_y_nm,measure_thickness_post_cvd_nm,measure_film_resistance_ohm,measure_inline_particle_density,midproc_defect_particle_count,midproc_defect_scratch_count,midproc_defect_bridge_count,midproc_defect_residue_count,midproc_defect_void_count,midproc_defect_pattern_collapse_count,midproc_defect_microbridge_count,bad_only_residue_signature,good_only_stable_signature,sim_true_defect_a_flag,sim_true_defect_b_flag,sim_true_defect_c_flag,sim_true_defect_d_flag,sim_dominant_defect
O002_W0000,2,LOT_02_08,7,P_B,R_BASE,PHOTO,CMP_01,CH_D,1781.9,0,1.0406,0.0006,0.0257,0.001,0.9422,323.398,313.808,2.9998,855.434,125.251,207.963,0.0905,0.4399,71.088,0.3356,43.8591,1.9073,2.8505,7.9284,767.0957,34.8384,0.22606,4,0,1,3,1,0,0,,1.2570253687574424,0,0,0,0,GOOD
O002_W0001,2,LOT_02_07,1,P_B,R_BASE,ETCH,CVD_01,CH_D,2150.5,1,1.4827,0.1754,0.0212,0.0264,0.9222,316.892,316.421,3.7062,889.151,120.325,206.73,0.12084,0.6354,59.667,0.4641,41.7848,1.6729,8.4873,-8.3272,753.7115,42.8029,0.20839,6,1,2,7,2,0,7,8.814668915219734,,1,0,0,0,A
O002_W0002,2,LOT_02_06,16,P_A,R_FAST,CMP,ETCH_02,CH_A,1685.2,0,0.9947,0.0412,0.0021,0.0,0.9471,320.313,319.104,2.9559,862.692,114.576,207.117,0.06424,0.3565,65.251,-0.4318,41.2868,1.0561,5.2052,-0.4602,809.3744,36.788,0.13472,7,0,0,0,3,2,0,,0.9089394339227326,0,0,0,0,GOOD
O002_W0003,2,LOT_02_04,8,P_C,R_BASE,CMP,CMP_01,CH_B,1681.2,0,1.5883,0.0681,0.1395,0.0248,0.9088,334.209,319.523,2.8539,868.399,127.128,222.74,0.0789,0.3673,55.302,1.349,43.533,0.6585,4.7479,-3.3077,770.7279,33.9272,0.21423,2,0,6,3,1,2,0,,0.9316413047946418,0,1,0,0,B
O002_W0004,2,LOT_02_01,20,P_B,R_BASE,ETCH,PHOTO_01,CH_A,1922.8,0,1.3214,0.0217,0.1662,0.0384,0.922,319.475,316.349,3.1224,881.279,134.32,210.12,0.10469,0.3464,57.035,-0.0487,42.1824,1.1464,1.799,-9.6985,787.632,37.4451,0.19183,4,0,5,0,2,3,0,,0.727653880256435,0,1,0,0,B
O002_W0005,2,LOT_02_07,23,P_C,R_BASE,PHOTO,CMP_01,CH_A,1743.8,0,1.5281,0.0413,0.0094,0.0472,0.8842,321.421,317.839,2.9986,843.328,117.279,195.928,0.12762,0.4447,61.796,1.1594,43.0094,1.007,8.1095,-0.769,815.6776,41.8773,0.17426,7,0,2,1,1,0,0,,1.1756352294644148,0,0,0,1,D
O002_W0006,2,LOT_02_03,6,P_A,R_BASE,ETCH,CVD_01,CH_B,2018.1,0,1.3782,0.0466,0.0464,0.0415,0.9471,323.048,314.688,2.753,833.706,120.474,216.126,0.09652,0.2593,65.183,-1.2867,41.5953,1.2921,-2.907,2.1056,789.4162,37.3482,0.17619,4,0,0,2,1,0,0,,1.154632519122374,0,0,0,0,GOOD
O002_W0007,2,LOT_02_04,1,P_B,R_BASE,CVD,ETCH_02,CH_C,1836.9,0,1.1399,0.0494,0.0277,0.0366,0.9389,318.223,314.5,3.3799,848.228,123.577,210.237,0.02002,0.6159,58.505,0.6909,39.7954,1.4373,-6.2662,-4.6926,801.1711,38.1305,0.13585,5,0,2,1,1,0,0,,0.8282000834652734,0,0,0,0,GOOD
O002_W0008,2,LOT_02_04,16,P_B,R_FAST,CMP,CMP_01,CH_D,1677.2,0,1.3293,0.0698,0.0267,0.0218,0.9298,323.677,319.393,2.9089,822.151,115.987,214.773,0.12355,0.513,58.003,-1.2293,40.3708,1.0968,-3.6473,3.4967,755.0301,38.0539,0.29281,4,0,1,3,0,0,0,,1.0358525107104857,0,0,0,0,GOOD
O002_W0009,2,LOT_02_03,17,P_B,R_REWORK,ETCH,ETCH_01,CH_C,2155.5,0,1.4486,0.0389,0.134,0.06,0.9042,328.926,312.146,3.2867,899.26,132.057,210.779,0.08914,0.2914,60.484,0.294,45.3076,1.3824,9.7975,1.9517,783.3204,40.0987,0.12653,5,1,5,3,3,3,1,,0.9542749300208426,0,1,0,0,B
