sample_id,order_id,lot_id,wafer_id,product_id,route_id,process_step,equipment_name,chamber_id,process_time_sec,target_bad_a,eds_bin_no_wf_mean,eds_bin_a_wf_mean,eds_bin_b_wf_mean,eds_bin_c_wf_mean,eds_yield_wf_mean,sensor_temp_zone1_mean,sensor_temp_zone2_mean,sensor_pressure_chamber_mean,sensor_rf_power_mean,sensor_gas_flow_o2_mean,sensor_gas_flow_ar_mean,sensor_vacuum_leak_rate,sensor_plasma_impedance_std,sensor_endpoint_time_sec,sensor_plasma_instability_score,measure_cd_post_etch_mean_nm,measure_cd_post_etch_std_nm,measure_overlay_x_nm,measure_overlay_y_nm,measure_thickness_post_cvd_nm,measure_film_resistance_ohm,measure_inline_particle_density,midproc_defect_particle_count,midproc_defect_scratch_count,midproc_defect_bridge_count,midproc_defect_residue_count,midproc_defect_void_count,midproc_defect_pattern_collapse_count,midproc_defect_microbridge_count,bad_only_residue_signature,good_only_stable_signature,sim_true_defect_a_flag,sim_true_defect_b_flag,sim_true_defect_c_flag,sim_true_defect_d_flag,sim_dominant_defect
O001_W0000,1,LOT_01_03,12,P_C,R_REWORK,CMP,CMP_01,CH_B,1768.8,0,1.2247,0.0141,0.0239,0.1107,0.9159,323.011,322.67,3.054,871.48,121.368,202.537,0.07274,0.287,63.459,-0.1291,41.0488,1.4299,7.7644,0.2156,762.6029,35.8857,0.22506,2,2,1,6,0,1,1,,0.8528747482361505,0,0,1,0,C
O001_W0001,1,LOT_01_07,14,P_B,R_BASE,CMP,CMP_01,CH_A,1794.4,0,1.2778,0.0415,0.0139,0.0105,0.9277,323.114,317.899,2.9087,828.77,133.602,193.718,0.07463,0.3838,56.943,0.6635,41.0226,1.1826,-1.1881,-8.6159,767.7632,39.7903,0.23013,1,1,3,6,1,1,0,,0.7523827478184002,0,0,0,0,GOOD
O001_W0002,1,LOT_01_03,24,P_A,R_BASE,CVD,CVD_01,CH_C,1857.8,1,1.5301,0.1831,0.0219,0.0125,0.8945,315.552,312.665,3.3302,927.909,130.259,205.155,0.08889,0.4243,64.289,2.0542,43.5228,1.9357,-5.386,-2.8687,803.4877,36.4001,0.17555,4,1,0,5,2,1,1,10.638366555506977,,1,0,0,0,A
O001_W0003,1,LOT_01_08,18,P_C,R_BASE,ETCH,ETCH_02,CH_D,1987.7,0,0.9719,0.0161,0.0351,0.0046,0.9578,307.433,319.968,3.1273,886.851,124.944,211.156,0.05189,0.4198,68.563,0.5952,44.2417,1.333,4.371,3.9295,775.3759,40.6222,0.19141,7,0,0,3,1,1,0,,0.9100255841744064,0,0,0,0,GOOD
O001_W0004,1,LOT_01_06,7,P_B,R_BASE,ETCH,ETCH_03,CH_D,2022.2,1,1.8383,0.1776,0.0116,0.0,0.8341,321.364,319.977,3.5012,939.855,136.007,213.684,0.10663,0.5222,66.552,0.6486,44.3107,1.6026,2.7191,-10.5792,815.3818,38.8841,0.24753,3,0,0,12,6,0,2,8.627096141957313,,1,0,0,1,A
O001_W0005,1,LOT_01_08,11,P_C,R_FAST,CVD,ETCH_01,CH_D,1928.8,0,1.8406,0.0308,0.1441,0.0214,0.8753,320.837,318.138,3.1681,796.384,125.979,223.454,0.09073,0.3883,58.324,-0.5106,39.7714,0.8467,13.4596,1.8687,787.3931,42.4972,0.19623,8,1,8,2,2,3,1,,1.1582580766743844,0,1,0,1,B
O001_W0006,1,LOT_01_01,20,P_A,R_BASE,CVD,PHOTO_01,CH_C,1885.7,0,1.0787,0.0351,0.0186,0.0,0.9641,322.49,321.218,3.2556,924.374,123.971,202.84,0.08191,0.3723,58.811,0.6331,41.3502,1.1322,6.7304,3.3805,789.5801,36.4772,0.18593,4,3,0,3,1,0,0,,0.9289962528205575,0,0,0,0,GOOD
O001_W0007,1,LOT_01_02,12,P_C,R_REWORK,CVD,ETCH_03,CH_B,2253.9,1,1.9985,0.1823,0.0282,0.0195,0.8438,325.161,316.66,3.4148,889.747,115.802,212.944,0.10389,0.6938,68.758,0.6736,42.4795,2.1301,2.1015,1.4087,806.2463,42.7429,0.1372,6,3,0,12,4,1,3,10.875838669420817,,1,0,0,1,A
O001_W0008,1,LOT_01_03,5,P_A,R_FAST,CVD,PHOTO_01,CH_D,1564.7,0,1.303,0.0063,0.0526,0.0349,0.952,331.018,315.965,2.6673,818.63,112.318,198.485,0.08593,0.4001,65.887,-0.3369,42.9097,1.0518,-11.6374,4.3378,784.0618,38.9227,0.1965,7,0,1,1,2,1,0,,0.9153543730936764,0,0,0,0,GOOD
O001_W0009,1,LOT_01_07,10,P_B,R_REWORK,PHOTO,CMP_01,CH_B,1841.0,0,1.1838,0.0324,0.0319,0.0,0.9519,328.598,321.548,2.86,874.193,126.357,222.374,0.07779,0.6242,67.846,0.6011,42.8951,0.9631,4.4342,-2.5705,788.8158,32.89,0.13044,3,0,0,1,0,3,1,,1.0141734216585425,0,0,0,0,GOOD
O001_W0010,1,LOT_01_07,5,P_A,R_REWORK,ETCH,ETCH_01,CH_A,1979.2,0,1.2842,0.0456,0.0261,0.0622,0.9451,323.168,316.074,2.9125,884.279,127.562,214.342,0.08156,0.5204,71.967,-0.2626,42.9396,1.1272,4.0426,-9.3043,772.371,40.7406,0.20084,3,1,0,2,0,3,1,,0.9387782599518593,0,0,0,0,GOOD
O001_W0011,1,LOT_01_08,14,P_A,R_FAST,PHOTO,CMP_01,CH_C,1935.6,0,1.3964,0.0457,0.1375,0.0135,0.9067,327.129,319.34,3.2693,928.749,120.491,204.095,0.05522,0.3645,62.618,0.5751,41.6134,1.4332,-1.7564,-2.5805,750.4605,33.0804,0.21812,2,1,1,3,1,0,0,,0.7494068289172912,0,1,0,0,B
O001_W0012,1,LOT_01_03,18,P_A,R_BASE,CMP,CVD_01,CH_B,1687.0,0,1.1036,0.0233,0.0,0.0418,0.9328,327.045,316.239,2.5767,849.732,118.265,216.907,0.06841,0.3344,67.396,-1.4051,40.7226,1.276,1.0679,3.5311,751.2761,43.1003,0.17464,2,1,0,2,1,0,1,,1.085197628423813,0,0,0,0,GOOD
O001_W0013,1,LOT_01_01,11,P_B,R_BASE,PHOTO,ETCH_03,CH_B,1714.8,0,1.1551,0.0341,0.0149,0.0331,0.9464,322.404,321.053,3.2314,823.904,122.47,227.928,0.06569,0.4319,61.733,0.2535,43.0738,1.3971,14.8776,2.4017,786.9672,31.7699,0.24958,3,3,1,3,1,0,1,,1.18980833969845,0,0,0,0,GOOD
O001_W0014,1,LOT_01_05,1,P_A,R_BASE,ETCH,ETCH_02,CH_C,2020.3,0,1.2219,0.026,0.0366,0.0333,0.9083,320.572,325.478,3.1411,830.449,126.844,214.75,0.07709,0.2676,58.627,1.006,40.432,1.4783,0.1052,-2.3443,774.0546,36.423,0.09839,8,2,0,3,0,0,1,,1.0149051445643256,0,0,0,0,GOOD
